tag,diameter,fruit,year
86,454,45,1
86,454,662,2
101,369,6,1
101,369,7,2
155,450,700,1
155,450,225,2
155,450,96,3
160,413,67,1
160,413,43,3
192,486,61,1
192,486,164,2
192,486,12,3
203,737,631,1
203,737,306,2
203,737,156,3
352,602,3,1
415,584,17,1
486,646,118,1
486,646,3266,2
486,646,319,3
487,408,113,1
487,408,322,2
487,408,30,3
786,647,495,1
786,647,534,2
786,647,11,3
787,572,86,1
787,572,73,2
836,600,30,1
836,600,301,2
836,600,15,3
889,520,80,1
906,432,10,1
906,432,111,2
1113,543,35,1
1113,543,6,2
1237,478,16,1
1237,478,25,2
1568,516,67,1
1568,516,62,2
1873,575,24,1
1901,395,34,1
2231,415,43,1
2231,415,22,2
2231,415,4,3
2456,612,22,1
2456,612,539,2
2456,612,27,3
2636,561,288,1
2636,561,249,2
2636,561,26,3
2753,571,68,1
2779,535,35,1
2779,535,254,2
2779,535,16,3
3084,598,2601,1
3084,598,3157,2
3084,598,341,3
3381,442,200,1
3381,442,961,2
3381,442,30,3
3382,530,1463,1
3382,530,2111,2
3382,530,10,3
3562,490,9190,1
3562,490,3097,2
3562,490,191,3
3833,670,339,1
3833,670,25,2
3840,631,75,1
3840,631,385,2
3862,447,43,1
3862,447,18,2
3913,680,117,1
3913,680,1108,2
3913,680,777,3
4118,711,8,1
4160,485,128,1
4160,485,120,2
4330,568,210,1
4330,568,337,2
4330,568,50,3
4332,563,1211,1
4332,563,1244,2
4332,563,226,3
4364,561,189,2
4364,561,5,3
4379,673,401,1
4379,673,75,2
4379,673,720,3
4654,440,373,1
4654,440,53,3
4655,549,794,1
4655,549,93,2
4655,549,206,3
4775,504,708,1
4775,504,1543,2
4775,504,376,3
4905,516,42,3
4992,862,1368,1
4992,862,809,2
4992,862,126,3
5041,664,464,1
5041,664,388,2
5041,664,1284,3
5125,606,38,1
5125,606,570,2
5125,606,138,3
5308,916,228,1
5308,916,475,2
5308,916,34,3
5309,619,180,1
5309,619,37,2
5309,619,3,3
5390,519,122,1
5390,519,1368,2
5390,519,391,3
5414,459,44,1
5414,459,187,2
5414,459,68,3
5493,451,85,1
5493,451,104,2
5493,451,63,3
5494,394,71,1
5494,394,47,2
5494,394,43,3
5502,457,37,1
5502,457,106,2
5502,457,90,3
5532,720,234,1
5532,720,698,2
5532,720,37,3
5568,563,257,1
5568,563,23,3
5637,715,1009,1
5637,715,490,2
5637,715,23,3
5669,595,249,1
5669,595,42,2
5669,595,61,3
5810,596,540,1
5810,596,400,2
5885,557,470,1
5885,557,113,2
5885,557,45,3
6036,467,57,1
6036,467,152,2
6036,467,68,3
6038,513,44,1
6038,513,20,3
6069,473,100,1
6069,473,239,2
