ID,replicate,site_number,invaded_status,sterile_status,location,source,initial_height,biomass
2,1,1,uninvaded,sterile,town,1,1.145,0.23665
17,1,1,invaded,sterile,town,1,0.61,0.2573
23,1,1,invaded,live,town,1,0.66,0.16635
46,1,1,uninvaded,live,town,1,0.51,0.019
78,2,1,invaded,sterile,town,2,0.68,0.16855
93,2,1,uninvaded,live,town,2,0.62,0.00075
101,2,1,invaded,live,town,2,0.66,0.05225
106,2,1,uninvaded,sterile,town,2,1.02,0.143
129,3,1,invaded,sterile,town,1,0.94,0.1895
157,3,1,uninvaded,live,town,1,0.72,0.0842
159,3,1,uninvaded,sterile,town,1,0.68,0.17475
163,3,1,invaded,live,town,1,0.82,0.04825
172,4,1,uninvaded,sterile,town,2,0.86,0.17605
209,4,1,invaded,sterile,town,2,0.76,0.1455
213,4,1,uninvaded,live,town,2,0.84,0.2651
224,4,1,invaded,live,town,2,0.71,0.2291
26,1,2,invaded,live,town,1,1.07,0.12125
30,1,2,invaded,sterile,town,1,1.53,0.32275
36,1,2,uninvaded,sterile,town,1,0.86,0.0288
55,1,2,uninvaded,live,town,1,0.66,0.0297
57,2,2,invaded,live,town,2,0.98,0.1729
70,2,2,invaded,sterile,town,2,0.96,0.0372
74,2,2,uninvaded,live,town,2,0.67,0.06365
87,2,2,uninvaded,sterile,town,2,0.635,0.01822
142,3,2,uninvaded,sterile,town,1,0.81,0.0682
147,3,2,invaded,sterile,town,1,0.655,0.01775
156,3,2,invaded,live,town,1,0.508,0.0543
165,3,2,uninvaded,live,town,1,0.835,0.1515
173,4,2,invaded,sterile,town,2,1.16,0.0833
177,4,2,uninvaded,sterile,town,2,0.79,0.1185
191,4,2,uninvaded,live,town,2,0.695,0.1665
218,4,2,invaded,live,town,2,0.61,0.02565
6,1,3,invaded,sterile,airport,1,0.705,0.3125
27,1,3,uninvaded,live,airport,1,0.895,0.172
51,1,3,uninvaded,sterile,airport,1,0.575,0.1602
53,1,3,invaded,live,airport,1,0.505,0.0259
58,2,3,invaded,live,airport,2,0.53,0.09695
76,2,3,uninvaded,live,airport,2,0.6,0.0896
82,2,3,uninvaded,sterile,airport,2,0.92,0.12065
94,2,3,invaded,sterile,airport,2,0.68,0.0351
118,3,3,uninvaded,sterile,airport,1,0.78,0.2054
128,3,3,invaded,live,airport,1,0.58,0.18405
133,3,3,uninvaded,live,airport,1,0.76,0.0737
168,3,3,invaded,sterile,airport,1,0.51,0.076
183,4,3,uninvaded,sterile,airport,2,0.62,0.2238
187,4,3,invaded,live,airport,2,0.51,0.0059
203,4,3,invaded,sterile,airport,2,0.57,0.0855
221,4,3,uninvaded,live,airport,2,0.98,0.186285
18,1,4,uninvaded,sterile,centre,1,0.9,0.01655
