Binomial,Realm,TrophicLevel,TrophicNiche,ForagingNiche,Family,Order,Habitat,PrimaryLifestyle,MinLatitude,MaxLatitude,CentroidLatitude,CentroidLongitude,RangeSize,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass
Abeillia_abeillei,Neotropic,Herbivore,Nectarivore,Nectarivore aerial,Trochilidae,Apodiformes,Forest,Aerial,12.78,19.77,15.29,-89.79,144610.4,13.1,9.5,1,1.8,6.7,46,15.5,29,2.7
Abroscopus_albogularis,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Passeriformes,Forest,Insessorial,14.97,31.56,24.78,105.57,1704650.6,9.6,4.9,2.8,2.3,16.1,45.1,37.3,45.2,4.8
Abroscopus_schisticeps,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Passeriformes,Forest,Insessorial,20.19,31.12,26.7,95.58,909217.05,8.9,4.7,2.6,2.3,16.5,47.1,39.5,47.5,4.7
Abroscopus_superciliaris,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Passeriformes,Shrubland,Insessorial,-8.11,28.81,9.89,105.2,2493437.47,12.3,7.4,3.2,2.9,16.5,51,44.5,41.2,6.5
Aburria_aburri,Neotropic,Herbivore,Frugivore,Fugivore glean,Cracidae,Galliformes,Forest,Insessorial,-13.43,11.15,-2.79,-75.23,139314.36,36.2,16.6,9.3,10.3,64.9,334.6,284.5,287.6,1405.1
Acanthagenys_rufogularis,Australian,Herbivore,Omnivore,NA,Meliphagidae,Passeriformes,Shrubland,Insessorial,-38.86,-16.14,-27.1,133.98,5976565.2,24.9,11.3,3.7,5,25.1,107.8,82.8,112.5,47.8
Acanthidops_bairdii,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal,Emberizidae,Passeriformes,Forest,Insessorial,8.8,10.38,9.56,-83.49,4743.28,16.2,10.8,3.8,5.3,20.9,66,54.7,52.1,16
Acanthisitta_chloris,Australian,Carnivore,Invertivore,Invertivore bark,Acanthisittidae,Passeriformes,Forest,Insessorial,-47.28,-35.38,-42.25,172.19,152503.84,12.2,6.3,2.6,2.4,18.7,47,38.1,23.4,6.9
Acanthiza_apicalis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Woodland,Insessorial,-36,-16.78,-27.63,131.95,4124270.8,10.6,5.9,2.4,2.8,18.4,50.4,43.2,46.5,7.6
Acanthiza_chrysorrhoa,Australian,Carnivore,Invertivore,Invertivore ground,Acanthizidae,Passeriformes,Woodland,Terrestrial,-43.64,-18.56,-28.8,136.41,4590956.34,11.8,6.2,2.3,2.7,18,58.3,49.1,38.9,9.3
Acanthiza_ewingii,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-43.64,-39.44,-41.94,146.59,68050.51,10.7,5.6,1.9,2.5,21.7,50.8,42.5,47,6.9
Acanthiza_inornata,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Woodland,Insessorial,-35.19,-29.16,-32.67,116.74,137406.16,11.3,5.9,2.4,3,17.2,47,41,38,7
Acanthiza_iredalei,Australian,Carnivore,Invertivore,Generalist,Acanthizidae,Passeriformes,Shrubland,Generalist,-38.86,-24.06,-31.22,128.95,987131.55,9.3,4.8,2.2,2.5,17.4,47,39.8,40,6
Acanthiza_katherina,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-19.07,-15.76,-17.76,144.85,58196.09,11.2,5.8,2.3,2.7,17.9,51.8,42.7,45.2,7.2
Acanthiza_lineata,Australian,Omnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-39.24,-23.09,-32.16,147.5,1043817.35,8.7,5,2.3,3,17.1,49.6,40,40.1,6.8
Acanthiza_murina,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Forest,Insessorial,-9.63,-3.38,-5.39,141.94,83142.29,11.2,6,2.5,2.9,17.9,56.7,44,35.1,8.4
Acanthiza_nana,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Shrubland,Insessorial,-39.14,-15.68,-29.95,146.15,2021416.13,10,5.2,2.5,3,17.4,49.6,40.8,39.8,6.2
Acanthiza_pusilla,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Shrubland,Insessorial,-43.64,-20,-32.24,147.72,1131818.69,10.1,5.3,2.1,2.6,18.4,51.8,44.1,45.2,7.6
Acanthiza_reguloides,Australian,Carnivore,Invertivore,Generalist,Acanthizidae,Passeriformes,Forest,Insessorial,-39.14,-15.8,-29.59,146.67,1843422.3,10.3,6,2.2,3,16.5,51.9,44.7,40.5,7.7
Acanthiza_robustirostris,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Woodland,Insessorial,-30.4,-19.66,-25.85,127.45,2061848.42,10.1,5.1,2.5,2.8,19.8,50.4,42.8,41.1,6.1
Acanthiza_uropygialis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Passeriformes,Woodland,Insessorial,-38.05,-19.82,-28.24,134,4788831.67,10.1,5.4,2.1,2.4,18.4,52.5,44.6,41.2,6.4
Acanthorhynchus_superciliosus,Australian,Herbivore,Nectarivore,Nectarivore glean,Meliphagidae,Passeriformes,Shrubland,Insessorial,-35.14,-28.9,-32.88,117.85,182218.54,23.3,15.5,2,2.6,20.4,59.5,50.1,54.5,9.7
Acanthorhynchus_tenuirostris,Australian,Omnivore,Nectarivore,Nectarivore glean,Meliphagidae,Passeriformes,Forest,Insessorial,-43.64,-15,-33.06,147.62,763502.74,26.1,18.9,2.3,2.6,18.1,68,54.6,62.6,10.4
Acanthornis_magna,Australian,Carnivore,Invertivore,Generalist,Acanthizidae,Passeriformes,Forest,Generalist,-43.64,-39.58,-41.92,146.39,45032.53,15,8.4,2.4,2.9,22.2,55.2,46.1,47.5,10.2
Accipiter_albogularis,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-11.73,-4.02,-8.15,158.49,37461.21,28.4,17.8,11.1,15.2,62.5,241.2,159.5,167.8,248.8
Accipiter_badius,Afrotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Shrubland,Insessorial,-29.47,46.39,8.23,44.98,22374973,20.7,12.1,8.8,11.8,43.2,189.9,127.4,142.5,131.2
Accipiter_bicolor,Neotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Woodland,Generalist,NA,NA,NA,NA,NA,26.4,14.8,9.6,13.6,59.4,236,189.6,191.1,287.5
Accipiter_brachyurus,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-6.31,-4.08,-5.45,150.68,35580.71,22.5,14,8.9,11.9,61.2,202.2,138,140.8,142
Accipiter_brevipes,Palearctic,Carnivore,Vertivore,Vertivore air to surface,Accipitridae,Accipitriformes,Forest,Generalist,31.19,55.86,45.24,45.33,2936751.8,21.1,12.1,8.7,11.1,46.4,224.8,130.8,153.5,186.5
Accipiter_butleri,Indo_Malay,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,7.87,9.26,8.42,93.17,327.84,20,11.9,6.6,12,48.7,166,123.1,127,332.9
Accipiter_castanilius,Afrotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-10.36,10.12,0.71,18.29,2096401.63,20.5,11.5,8.3,10.9,52.6,162,123.1,137,157.5
Accipiter_chilensis,Neotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Woodland,Generalist,NA,NA,NA,NA,NA,22.6,12.6,7.7,11.4,57.2,225.5,156.2,177.5,368
Accipiter_chionogaster,Neotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Generalist,NA,NA,NA,NA,NA,18.9,10.5,7.3,9.7,52.3,184.8,124.2,136.2,332.9
Accipiter_cirrocephalus,Australian,Carnivore,Vertivore,Generalist,Accipitridae,Accipitriformes,Forest,Generalist,-43.64,0.04,-23.36,137.81,5488639.45,19.6,10.6,8,9.7,60.5,215,133.7,155.2,165.7
Accipiter_collaris,Neotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-13.2,11.25,2.47,-75.57,253265.36,19.7,11.2,8.7,10.9,44.1,164.7,115.2,123.5,332.9
Accipiter_cooperii,Nearctic,Carnivore,Vertivore,Generalist,Accipitridae,Accipitriformes,Woodland,Aerial,23.28,53.31,41.25,-100.49,8393137.06,25.3,13.9,8.3,13.3,61.4,241.2,163.5,189.2,429.7
Accipiter_erythrauchen,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Generalist,-3.91,2.65,-1.32,128.19,48150.32,21.1,12.2,8.6,11.2,59.5,191.2,132.4,154.8,156
Accipiter_erythronemius,Neotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Generalist,NA,NA,NA,NA,NA,17.1,9.4,6.6,8.3,49.3,182,128.8,126.2,125
Accipiter_erythropus,Afrotropic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-9.36,14.73,3.48,10.44,3904812.09,17.1,9.7,7.2,9.1,43.5,151,110.1,99,111.2
Accipiter_fasciatus,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Generalist,-43.64,-1.7,-24.45,134.95,8180196.71,25.5,16.4,10.5,13.9,72,272.8,166.5,199.5,358.7
Accipiter_francesiae,Madagascar,Carnivore,Invertivore,Invertivore sally surface,Accipitridae,Accipitriformes,Forest,Insessorial,-25.61,-11.36,-19.49,46.67,519468.81,20.2,12.5,9,10.8,50.6,164.8,121,136.2,136.8
Accipiter_gentilis,Palearctic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Generalist,17.1,70.39,54.91,19.06,31775270.74,34.5,19.6,11.6,18,71.8,343.8,218.2,234,866
Accipiter_griseiceps,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-5.66,1.88,-1.96,121.18,140604.94,24.1,14.6,8.8,12.4,52,187.2,137.3,141.2,251.8
Accipiter_gularis,Palearctic,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,24.25,59,49.07,117.11,4785704.92,24.4,9.5,6.8,8.8,42.2,163.2,109,104,120.7
Accipiter_gundlachi,Neotropic,Carnivore,Vertivore,Generalist,Accipitridae,Accipitriformes,Forest,Aerial,19.82,23.16,21.62,-79.36,33511.43,26,15.2,8.2,16.3,71.3,228,166.2,223,675
Accipiter_haplochrous,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-22.4,-20.09,-21.33,165.48,16389.59,23.7,13.9,9.6,13.2,58.9,227.8,153.2,155,198.4
Accipiter_henicogrammus,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-0.92,2.65,0.88,128.01,22781.85,28,15.9,10,13.8,65,232.5,160.5,187,332.9
Accipiter_henstii,Madagascar,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-25.2,-11.95,-18.72,46.85,434639.7,32.6,18.1,11.8,17.2,75,290.5,212.5,245,1050
Accipiter_imitator,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-8.58,-5.41,-6.76,156.47,10050.21,26.4,16.8,9.1,12.2,49.6,200,140,161,222.5
Accipiter_luteoschistaceus,Australian,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitriformes,Forest,Insessorial,-6.31,-4.19,-5.5,150.45,28814.74,26.4,16.8,7.8,11.9,51.5,188,131,146,214
