Order,Family,Species,Scientific_Name,massM,SDmassM,massF,SDmassF,lengthM,SDlengthM,lengthF,SDlengthF,n_M,n_F,n_Mlength,n_Flength,Comments,Source
Afrosoricida,Chrysochloridae,Hottentot golden mole,Amblysomus hottentotus,80.6,1.24498996,66,8.637522793,NA,NA,NA,NA,155,148,NA,NA,"SEs converted to SDs. Note that foetuses were detected in females throughout the year and only overall averages for the whole sampling period were reported, but males were so much larger than females that their relative sizes are unlikely to be much affected by foetuses so we kept the data.","Schoeman, S., Bennett, N. C., van der Merwe, M. & Schoeman, A. S. Aseasonal reproduction in the Hottentot golden mole, Amblysomus hottentotus (Afrosoricida: Chrysochloridae) from KwaZulu-Natal, South Africa. African Zool. 39, 41–46 (2004)."
Afrosoricida,Chrysochloridae,Namib desert golden mole,Eremitalpa granti namibensis,28,6.7,23.1,3.6,NA,NA,NA,NA,4,8,NA,NA,,"Fielden, L. J. Selected aspects of the adaptive biology and ecology of the Namib desert golden mole (Eremitalpa granti namibensis). (University of Natal, 1989)."
Afrosoricida,Tenrecidae,Lesser hedgehog tenrec,Echinops telfairi,102.4,19.29,99.9,17.82,NA,NA,NA,NA,24,15,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Large-eared tenrec,Geogale aurita,7.3,1.02,7,1.34,NA,NA,NA,NA,17,15,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Highland streaked tenrec,Hemicentetes nigriceps,111,15.59,98,6.56,NA,NA,NA,NA,3,3,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Lowland streaked tenrec,Hemicentetes semispinosus,109.5,16.72,107.6,16.01,NA,NA,NA,NA,24,5,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Short-tailed shrew tenrec,Microgale brevicaudata,9.4,1.52,9.7,1.16,NA,NA,NA,NA,42,8,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Cowan's shrew tenrec,Microgale cowani,12.4,1.71,12.7,1.83,NA,NA,NA,NA,41,58,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Dobson's shrew tenrec,Microgale dobsoni,26.9,4.38,28.9,5.39,NA,NA,NA,NA,23,18,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Drouhard's shrew tenrec,Microgale drouhardi,10.1,1.26,12.5,1.79,NA,NA,NA,NA,30,23,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Pale shrew tenrec,Microgale fotsifotsy,7.8,1.75,9.2,1.9,NA,NA,NA,NA,29,8,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Gracile shrew tenrec,Microgale gracilis,24,2.74,22.2,2,NA,NA,NA,NA,14,7,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Grandidier's shrew tenrec,Microgale grandidieri,9,2.08,8.3,1.7,NA,NA,NA,NA,11,5,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
