"Year","Country","Disease","Parasite","Host","Cases","Deaths","Destroyed","Slaughtered","HostOrder","SR","EvoIso","Taxonomic_Range","ParaType","ParaFamily","Vector","EnviroRestingStage","AvianReservoir","Reproduction","WOK_citations","WOK_citations_noHuman","latitude","gdp","gdp_pcap"
2005,"Afghanistan","Anthrax","Bacillus_anthracis","Capra_hircus",20,6,0,0,"ungulate",39,99.678947368421,6,"bacteria","Bacillaceae",0,1,0,0,24868,19356,34.5228,11388718265.4193,421.890019966018
2005,"Afghanistan","Anthrax","Bacillus_anthracis","Ovis_aries",54,10,0,0,"ungulate",39,99.678947368421,6,"bacteria","Bacillaceae",0,1,0,0,24868,19356,34.5228,11388718265.4193,421.890019966018
2005,"Afghanistan","Haemorrhagic septicaemia","Pasteurella_multocida","Bos_taurus",11,3,0,0,"ungulate",28,117.985185185185,6,"bacteria","Pasteurellaceae",0,0,1,0,9222,8113,34.5228,11388718265.4193,421.890019966018
2005,"Afghanistan","Peste des petits ruminants","Morbillivirus_peste-des-petits-ruminants virus","Capra_hircus",65995,1340,0,0,"ungulate",8,79.1428571428571,4,"virus","Paramyxoviridae",0,0,0,0,1180,1096,34.5228,11388718265.4193,421.890019966018
2005,"Afghanistan","Peste des petits ruminants","Morbillivirus_peste-des-petits-ruminants virus","Ovis_aries",9320,1384,0,0,"ungulate",8,81.3142857142857,4,"virus","Paramyxoviridae",0,0,0,0,1180,1096,34.5228,11388718265.4193,421.890019966018
2005,"Albania","Anthrax","Bacillus_anthracis","Bos_taurus",6,6,0,0,"ungulate",39,100.215789473684,6,"bacteria","Bacillaceae",0,1,0,0,24868,19356,41.3317,11085084193.0426,3762.00236309856
2005,"Albania","Bovine anaplasmosis","Anaplasma_marginale","Bos_taurus",4,0,0,0,"ungulate",19,67.9,4,"bacteria","Ehrlichiaceae",1,0,0,0,3091,2749,41.3317,11085084193.0426,3762.00236309856
2005,"Angola","Anthrax","Bacillus_anthracis","Bos_taurus",41,41,0,0,"ungulate",39,100.215789473684,6,"bacteria","Bacillaceae",0,1,0,0,24868,19356,-8.81155,68104195212.1972,3361.9716831989
2005,"Angola","Rabies","Lyssavirus_rabies virus","Canis_lupus",13,13,0,0,"carnivore",130,135.505426356589,5,"virus","Rhabdoviridae",0,0,0,0,29516,23665,-8.81155,68104195212.1972,3361.9716831989
2005,"Angola","Lumpy skin disease","Capripoxvirus_lumpy skin disease virus","Bos_taurus",50,3,0,0,"ungulate",5,49.05,2,"virus","Poxviridae",1,0,0,0,521,465,-8.81155,68104195212.1972,3361.9716831989
2005,"Angola","Bovine anaplasmosis","Anaplasma_marginale","Bos_taurus",12,7,0,0,"ungulate",19,67.9,4,"bacteria","Ehrlichiaceae",1,0,0,0,3091,2749,-8.81155,68104195212.1972,3361.9716831989
2005,"Angola","Dermatophilosis","Dermatophilus_congolensis","Bos_taurus",80,14,0,0,"ungulate",8,92.2,6,"bacteria","Dermatophilaceae",0,0,0,0,807,754,-8.81155,68104195212.1972,3361.9716831989
